EO #,Title,URL,Date Signed,Date Published,FR Citation,FR Doc Number
EO 14190,Ending Radical Indoctrination in K-12 Schooling,https://www.federalregister.gov/documents/2025/02/03/2025-02232/ending-radical-indoctrination-in-k-12-schooling,2025-01-29,2025-02-03,90 FR 8853,2025-02232
EO 14189,Celebrating America's 250th Birthday,https://www.federalregister.gov/documents/2025/02/03/2025-02231/celebrating-americas-250th-birthday,2025-01-29,2025-02-03,90 FR 8849,2025-02231
EO 14188,Additional Measures To Combat Anti-Semitism,https://www.federalregister.gov/documents/2025/02/03/2025-02230/additional-measures-to-combat-anti-semitism,2025-01-29,2025-02-03,90 FR 8847,2025-02230
EO 14187,Protecting Children From Chemical and Surgical Mutilation,https://www.federalregister.gov/documents/2025/02/03/2025-02194/protecting-children-from-chemical-and-surgical-mutilation,2025-01-28,2025-02-03,90 FR 8771,2025-02194
EO 14186,The Iron Dome for America,https://www.federalregister.gov/documents/2025/02/03/2025-02182/the-iron-dome-for-america,2025-01-27,2025-02-03,90 FR 8767,2025-02182
EO 14185,Restoring America's Fighting Force,https://www.federalregister.gov/documents/2025/02/03/2025-02181/restoring-americas-fighting-force,2025-01-27,2025-02-03,90 FR 8763,2025-02181
EO 14184,Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate,https://www.federalregister.gov/documents/2025/02/03/2025-02180/reinstating-service-members-discharged-under-the-militarys-covid-19-vaccination-mandate,2025-01-27,2025-02-03,90 FR 8761,2025-02180
EO 14183,Prioritizing Military Excellence and Readiness,https://www.federalregister.gov/documents/2025/02/03/2025-02178/prioritizing-military-excellence-and-readiness,2025-01-27,2025-02-03,90 FR 8757,2025-02178
EO 14182,Enforcing the Hyde Amendment,https://www.federalregister.gov/documents/2025/01/31/2025-02175/enforcing-the-hyde-amendment,2025-01-24,2025-01-31,90 FR 8751,2025-02175
EO 14181,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain,2025-01-24,2025-01-31,90 FR 8747,2025-02174
EO 14180,Council To Assess the Federal Emergency Management Agency,https://www.federalregister.gov/documents/2025/01/31/2025-02173/council-to-assess-the-federal-emergency-management-agency,2025-01-24,2025-01-31,90 FR 8743,2025-02173
EO 14179,Removing Barriers to American Leadership in Artificial Intelligence,https://www.federalregister.gov/documents/2025/01/31/2025-02172/removing-barriers-to-american-leadership-in-artificial-intelligence,2025-01-23,2025-01-31,90 FR 8741,2025-02172
EO 14178,Strengthening American Leadership in Digital Financial Technology,https://www.federalregister.gov/documents/2025/01/31/2025-02123/strengthening-american-leadership-in-digital-financial-technology,2025-01-23,2025-01-31,90 FR 8647,2025-02123
EO 14177,President's Council of Advisors on Science and Technology,https://www.federalregister.gov/documents/2025/01/31/2025-02121/presidents-council-of-advisors-on-science-and-technology,2025-01-23,2025-01-31,90 FR 8643,2025-02121
EO 14176,"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.",https://www.federalregister.gov/documents/2025/01/31/2025-02116/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy-senator-robert,2025-01-23,2025-01-31,90 FR 8641,2025-02116
EO 14175,Designation of Ansar Allah as a Foreign Terrorist Organization,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization,2025-01-22,2025-01-31,90 FR 8639,2025-02103
EO 14174,Revocation of Certain Executive Orders,https://www.federalregister.gov/documents/2025/01/31/2025-02098/revocation-of-certain-executive-orders,2025-01-21,2025-01-31,90 FR 8637,2025-02098
EO 14173,Ending Illegal Discrimination and Restoring Merit-Based Opportunity,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity,2025-01-21,2025-01-31,90 FR 8633,2025-02097
EO 14172,Restoring Names That Honor American Greatness,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness,2025-01-20,2025-01-31,90 FR 8629,2025-02096
EO 14171,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,https://www.federalregister.gov/documents/2025/01/31/2025-02095/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce,2025-01-20,2025-01-31,90 FR 8625,2025-02095
EO 14170,Reforming the Federal Hiring Process and Restoring Merit to Government Service,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service,2025-01-20,2025-01-30,90 FR 8621,2025-02094
EO 14169,Reevaluating and Realigning United States Foreign Aid,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid,2025-01-20,2025-01-30,90 FR 8619,2025-02091
EO 14168,Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,2025-01-20,2025-01-30,90 FR 8615,2025-02090
EO 14167,Clarifying the Military's Role in Protecting the Territorial Integrity of the United States,https://www.federalregister.gov/documents/2025/01/30/2025-02089/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states,2025-01-20,2025-01-30,90 FR 8613,2025-02089
EO 14166,Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok,2025-01-20,2025-01-30,90 FR 8611,2025-02087
EO 14165,Securing Our Borders,https://www.federalregister.gov/documents/2025/01/30/2025-02015/securing-our-borders,2025-01-20,2025-01-30,90 FR 8467,2025-02015
EO 14164,Restoring the Death Penalty and Protecting Public Safety,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety,2025-01-20,2025-01-30,90 FR 8463,2025-02012
EO 14163,Realigning the United States Refugee Admissions Program,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program,2025-01-20,2025-01-30,90 FR 8459,2025-02011
